Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
SSBS/S/2022/730,S/730,19/04/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/S/2022/756,S/756,26/04/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/S/2022/758,S/758,26/04/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/S/2022/784,S/784,4/5/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/S/2022/787,S/787,4/5/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,38.4,Negative
SSBS/S/2022/806,S/806,10/5/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/S/2022/809,S/809,10/5/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/S/2022/834,S/834,17/05/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/S/2022/837,S/837,17/05/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/S/2022/862,S/862,24/05/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/S/2022/865,S/865,24/05/2022,"DP road, Botanical Garden, Aundh",Genepath,40,0,40,Negative
SSBS/S/2022/890,S/890,31/05/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,34.69,0,Negative
SSBS/S/2022/893,S/893,31/05/2022,"DP road, Botanical Garden, Aundh",Genepath,34.67,34.34,0,Positive
SSBS/S/2022/917,S/917,7/6/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/S/2022/920,S/920,7/6/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/S/2022/944,S/944,14/06/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,38.6,36.7,0,Negative
SSBS/S/2022/947,S/947,14/06/2022,"DP road, Botanical Garden, Aundh",Genepath,33.5,0,0,Negative
SSBS/S/2022/971,S/971,21/06/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,35,38,35,Positive
SSBS/S/2022/972,S/972,21/06/2022,"DP road, Botanical Garden, Aundh",Genepath,30,36,34,Positive
SSBS/S/2022/996,S/996,28/06/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,28.8,32.7,31.8,Positive
SSBS/S/2022/997,S/997,28/06/2022,"DP road, Botanical Garden, Aundh",Genepath,31.8,34.5,33.2,Positive
SSBS/M/2022/1023,S/1023,5/7/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,31.6,35.2,34.5,Positive
SSBS/M/2022/1024,S/1024,5/7/2022,"DP road, Botanical Garden, Aundh",Genepath,28.9,33,32.1,Positive
SSBS/M/2022/1050,S/1050,12/7/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,34.4,37.4,36.2,Negative
SSBS/M/2022/1051,S/1051,12/7/2022,"DP road, Botanical Garden, Aundh",Genepath,35.4,39.6,38.1,Negative
SSBS/M/2022/1072,S/1072,19/07/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,33.3,37.8,Negative
SSBS/M/2022/1075,S/1075,19/07/2022,"DP road, Botanical Garden, Aundh",Genepath,36.6,0,0,Negative
SSBS/M/2022/1098,S/1098,26/07/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,37,0,0,Negative
