Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
SSBS/S/2022/865,S/865,24/05/2022,"DP road, Botanical Garden, Aundh",Genepath,40,0,40,Negative
SSBS/S/2022/877,S/877,27/05/2022,Rahatni new DP road,Genepath,35.98,34.84,36.57,Negative
SSBS/S/2022/893,S/893,31/05/2022,"DP road, Botanical Garden, Aundh",Genepath,34.67,34.34,0,Positive
SSBS/S/2022/904,S/904,3/6/2022,Rahatni new DP road,Genepath,0,36,35,Negative
SSBS/S/2022/920,S/920,7/6/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/S/2022/935,S/935,10/6/2022,Rahatni new DP road,Genepath,37.46,37.73,0,Positive
SSBS/S/2022/947,S/947,14/06/2022,"DP road, Botanical Garden, Aundh",Genepath,33.5,0,0,Negative
SSBS/S/2022/962,S/962,17/06/2022,Rahatni new DP road,Genepath,28.6,34,32.4,Positive
SSBS/S/2022/972,S/972,21/06/2022,"DP road, Botanical Garden, Aundh",Genepath,30,36,34,Positive
SSBS/S/2022/983,S/983,24/06/2031,Rahatni new DP road,Genepath,30,33,32,Positive
SSBS/S/2022/997,S/997,28/06/2022,"DP road, Botanical Garden, Aundh",Genepath,31.8,34.5,33.2,Positive
SSBS/M/2022/1011,S/1011,1/7/2022,Rahatni new DP road,Genepath,0,0,39.2,Negative
SSBS/M/2022/1024,S/1024,5/7/2022,"DP road, Botanical Garden, Aundh",Genepath,28.9,33,32.1,Positive
SSBS/M/2022/1037,S/1037,8/7/2022,Rahatni new DP road,Genepath,29,33.2,32.1,Positive
SSBS/M/2022/1051,S/1051,12/7/2022,"DP road, Botanical Garden, Aundh",Genepath,35.4,39.6,38.1,Negative
SSBS/M/2022/1062,S/1062,15/07/2022,Rahatni new DP road,Genepath,0,0,0,Negative
SSBS/M/2022/1075,S/1075,19/07/2022,"DP road, Botanical Garden, Aundh",Genepath,36.6,0,0,Negative
SSBS/M/2022/1086,S/1086,22/07/2022,Rahatni new DP road,Genepath,30.1,34.4,32.8,Positive
SSBS/M/2022/1101,S/1101,26/07/2022,"DP road, Botanical Garden, Aundh",Genepath,33.2,38.8,34.2,Positive
SSBS/M/2022/1115,S/1115,29/07/2022,Rahatni new DP road,Genepath,34,40.1,36.2,Negative
SSBS/M/2022/1127,S/1127,2/8/2022,"DP road, Botanical Garden, Aundh",Genepath,28.57,35.91,32.16,Positive
SSBS/M/2022/1138,S/1138,5/8/2022,Rahatni new DP road,Genepath,26.31,0,0,Negative
SSBS/M/2022/1153,S/1153,9/8/2022,"DP road, Botanical Garden, Aundh",Genepath,28.87,36.59,32.34,Positive
SSBS/M/2022/1168,S/1168,16/08/2022,"DP road, Botanical Garden, Aundh",Genepath,38.26,32.43,32.89,Positive
SSBS/M/2022/1177,S/1177,19/08/2022,Rahatni new DP road,Genepath,33.88,0,37.11,Negative
SSBS/M/2022/1190,S/1190,23/08/2022,"DP road, Botanical Garden, Aundh",Genepath,28.34,32.77,33.98,Positive
SSBS/M/2022/1199,S/1199,26/08/2022,Rahatni new DP road,Genepath,0,35.98,32.83,Negative
SSBS/M/2022/1218,S/1218,2/9/2022,Rahatni new DP road,Genepath,37.36,0,37.04,Negative
SSBS/M/2022/1231,S/1231,6/9/2022,"DP road, Botanical Garden, Aundh",Genepath,33.46,0,34.44,Positive
SSBS/M/2022/1251,S/1251,13/09/2022,"DP road, Botanical Garden, Aundh",Genepath,30.043,36.6731,33.4034,Positive
SSBS/M/2022/1260,S/1260,16/09/2022,Rahatni new DP road,Genepath,39.108,0,35.5838,Negative
SSBS/M/2022/1273,S/1273,20/09/2022,"DP road, Botanical Garden, Aundh",Genepath,31.8111,0,35.2529,Positive
SSBS/M/2022/1282,S/1282,23/09/2022,Rahatni new DP road,Genepath,33.5229,0,35.1472,Positive
SSBS/M/2022/1295,S/1295,27/09/2022,"DP road, Botanical Garden, Aundh",Genepath,0,37.95,23.67,Negative
SSBS/M/2022/1304,S/1304,30/09/2022,Rahatni new DP road,Genepath,0,0,0,Negative
